,,,,,
,,,,,
,,,,,
,,,,,
Nombre,Fuente Verificada,Fecha 2026,Ubicación 2026,Tipo de evento,Sugerencia de empresas participantes
CIC Presidents Institute 2026,https://cic.edu/event/2026-presidents-institute/,4 al 7 de Enero de 2026,"Orlando, Florida, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
FETC,https://www.fetc.org/,11 al 14 de Enero de 2026,"Orlando, Florida, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Global Education Forum - Madrid 2026,https://thecgdl.org/ygf2026/,15 al 18 de Enero de 2026,"Madrid, España",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
ISTE+ASCD Instructional Leaders' Summit 2026,https://event.iste-ascd.org/ILS26/,16 al 19 de Enero de 2026,"San Diego, California, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
Get Your Teach On (GYTO) Fest,https://events.getyourteachon.com/vegas2026?ref=gytosite,17 al 19 de Enero de 2026,"Las Vegas, Nevada, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
AAC&U Annual Meeting 2026,https://www.aacu.org/events,21 al 23 de Enero de 2026,"Washington D.C., EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
IFE EdTech Summit,https://startupslatam.com/ife-edtech-summit-2026-monterrey-sera-el-epicentro-de-la-innovacion-educativa-en-america-latina/,27 al 29 de Enero de 2026,"Monterrey, México",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic, Siglo 21, Social Learning, R'Evolution"
TCEA Convention,https://convention.tcea.org/about/faqs/,31 de Enero al 4 de Febrero de 2026,"San Antonio, Texas, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
AI K12 Deeper Learning Summit,https://www.peteandc.org/2026/ThirdSummit.cfm,3 de Febrero de 2026,"Hershey, PA, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
World Education Summit,https://educationsummit.com/,4 y 5 de Febrero de 2026,"Dubai, EAU",Educación superior / internacionalización,"Universidad Siglo 21, Cerem"
AASA National Conference on Education,https://www.aasa.org/professional-learning/national-conference-on-education,12 al 14 de Febrero de 2026,"Nashville, Tennessee, EE.UU.",Educación / innovación (general),"Universidad Siglo 21, Cerem, Capabilia, Benchlab"
Digital Learning Annual Conference,https://conference.deelac.com/future-dlac-dates,18 al 20 de Febrero de 2026,"Sacramento, California, EE.UU.",Tecnología educativa / K-12 / EdTech,"Capabilia, Benchlab, Bitlogic"
